"local_path","source_type","original_source_url","author_or_uploader","license_or_permission_basis","modified","review_status"
"assets/images/items/enchanted-book/book-riptide.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-sharpness.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-silk-touch.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-smite.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-soul-speed.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-sweeping-edge.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-swift-sneak.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-thorns.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-unbreaking.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-vanishing-curse.gif","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/enchanted-book/book-wind-burst.png","third-party-resource-pack","https://github.com/carl-classic/Re-covered/tree/vanilla","carl-classic","CC BY-NC-ND 4.0","unknown","license-review-needed"
"assets/images/items/fish/anthias.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/blue-eel.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/blue-grenadier.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/bream.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/bubblefish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/bucket-of-axolotl.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Axolotl_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/bucket-of-cod.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Cod_JE2_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/bucket-of-pufferfish.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Pufferfish_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/bucket-of-salmon.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Salmon_JE2_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/bucket-of-tadpole.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Tadpole_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/bucket-of-tropical-fish.png","minecraft-wiki","https://minecraft.wiki/w/File:Bucket_of_Tropical_Fish_JE3_BE3.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/catfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/chromis.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/cod.png","minecraft-wiki","https://minecraft.wiki/w/File:Raw_Cod_JE4_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/coralfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
